sp	lat	lon	alt	sigma_h	sigma_v	fixInfo	epsg
ScanPos174	35.869435934760297	-75.574014878951161	-34.166045544669032	0.32699999213218689	0.63400000333786011	RTK float	6319
ScanPos175	35.869305373644124	-75.574128467095989	-31.759787190705538	0.014099999330937862	0.024499999359250069	RTK fixed	6319
ScanPos176	35.869261291303346	-75.573924710936041	-34.099464148283005	0.014099999330937862	0.013299999758601189	RTK fixed	6319
ScanPos177	35.869109579289329	-75.573972468262525	-31.602661401033401	0.014099999330937862	0.014299999922513962	RTK fixed	6319
ScanPos178	35.868999391650142	-75.573802886897951	-33.932777062058449	0.014099999330937862	0.018299998715519905	RTK fixed	6319
ScanPos179	35.868825140860963	-75.573842572902208	-32.161094541661441	0.014099999330937862	0.01640000008046627	RTK fixed	6319
ScanPos182	35.868624414386773	-75.573739734773866	-21.767381085082889	0.83179998397827148	1.4218999147415161	Single	6319
ScanPos184	35.877236619378124	-75.578301917580774	-30.62587941903621	0.96129995584487915	1.6857999563217163	Single	6319
ScanPos185	35.877103388106704	-75.578481839646969	-31.367540935054421	0.014099999330937862	0.012199999764561653	RTK fixed	6319
ScanPos186	35.877076830730331	-75.578225075675576	-34.659181836992502	0.50899994373321533	0.54499995708465576	RTK float	6319
ScanPos187	35.876962133529183	-75.578379067804548	-30.983594621531665	0.55799996852874756	0.63499999046325684	RTK float	6319
ScanPos188	35.87690224045442	-75.578110201307382	-35.632991855032742	0.81059998273849487	1.3152999877929688	Single	6319
ScanPos191	35.876642200619074	-75.578007121838212	-33.923686163499951	0.67699998617172241	0.7369999885559082	RTK float	6319
ScanPos192	35.876477814063563	-75.578060251502592	-32.302765376865864	0.14099998772144318	0.17899999022483826	RTK float	6319
ScanPos193	35.876341910345531	-75.577818464034138	-34.509687570855021	0.14099998772144318	0.14399999380111694	RTK float	6319
ScanPos194	35.876252540356901	-75.577919288059633	-32.016717517748475	0.14099998772144318	0.12099999934434891	RTK float	6319
ScanPos195	35.876139605969485	-75.577711276296768	-34.484251202084124	0.014099999330937862	0.013700000010430813	RTK fixed	6319
ScanPos196	35.87593910171578	-75.57779072319731	-32.081082987599075	0.014099999330937862	0.01679999940097332	RTK fixed	6319
ScanPos197	35.875839019261129	-75.577707813096353	-31.945679289288819	0.014099999330937862	0.018899999558925629	RTK fixed	6319
ScanPos198	35.875736564421544	-75.57765362577166	-32.04907433129847	0.014099999330937862	0.017899999395012856	RTK fixed	6319
ScanPos199	35.875643407072467	-75.577552464622244	-33.29379649925977	0.014099999330937862	0.015399999916553497	RTK fixed	6319
ScanPos200	35.875779255340944	-75.577546496380506	-34.352542691864073	0.014099999330937862	0.0139999995008111	RTK fixed	6319
ScanPos201	35.875931239484387	-75.577630652943427	-34.149324580095708	0.014099999330937862	0.013399999588727951	RTK fixed	6319
ScanPos203	35.861433858019517	-75.569899727742111	-33.879877140745521	0.71799999475479126	0.96000003814697266	RTK float	6319
ScanPos204	35.861378927945943	-75.570111856443958	-32.045300086028874	0.014399999752640724	0.019799999892711639	RTK fixed	6319
ScanPos205	35.861492383623236	-75.570169559008875	-31.277463314123452	0.014200000092387199	0.019299998879432678	RTK fixed	6319
ScanPos206	35.861693342897858	-75.570037863693031	-34.459973123855889	0.014099999330937862	0.017400000244379044	RTK fixed	6319
ScanPos207	35.861802447469145	-75.570338329573829	-31.619292121380568	0.014699999243021011	0.020399998873472214	RTK fixed	6319
ScanPos208	35.861946053904092	-75.570409456599592	-30.64794241078198	1.1625999212265015	1.6368999481201172	Single	6319
ScanPos209	35.862058133900796	-75.570461231045584	-29.946398229338229	1.1729999780654907	1.6060999631881714	Single	6319
ScanPos210	35.862189490819283	-75.570565007887296	-30.000851352699101	1.2079999446868896	1.6577999591827393	Single	6319
ScanPos211	35.862193780306534	-75.570567351790956	-30.235249831341207	1.6856999397277832	2.7281999588012695	Single	6319
ScanPos212	35.862327081773053	-75.57058010745051	-31.307129175402224	0.014200000092387199	0.02239999920129776	RTK fixed	6319
ScanPos213	35.862471636731122	-75.570680532564666	-30.631152969785035	0.014999999664723873	0.025299999862909317	RTK fixed	6319
ScanPos214	35.862592687920454	-75.570756614571948	-30.754599072039127	0.13480000197887421	0.20170000195503235	Single	6319
ScanPos215	35.862789521336033	-75.57078306822811	-31.602691107429564	0.13509999215602875	0.19259999692440033	Single	6319
ScanPos216	35.862760508034853	-75.570594527093235	-34.573233582079411	1.0669999122619629	1.3450000286102295	RTK float	6319
ScanPos217	35.86256547359374	-75.570539315905592	-33.854166901670396	0.4089999794960022	0.46599999070167542	RTK float	6319
ScanPos218	35.86239643838902	-75.570458613507441	-33.924391615204513	0.014099999330937862	0.02070000022649765	RTK fixed	6319
ScanPos219	35.8622557063944	-75.570359769026979	-34.198828126303852	0.014099999330937862	0.014699999243021011	RTK fixed	6319
ScanPos220	35.862090760988799	-75.570293101281067	-34.100646059028804	0.014099999330937862	0.022099999710917473	RTK fixed	6319
ScanPos221	35.861926097152867	-75.570237700311978	-33.682478555478156	0.014099999330937862	0.013599999248981476	RTK fixed	6319
ScanPos222	35.861766467722781	-75.570134037323214	-34.11059645563364	0.014099999330937862	0.017899999395012856	RTK fixed	6319
ScanPos224	35.850407136510455	-75.565204320182048	-32.741052642464638	0.56299996376037598	0.56399995088577271	RTK float	6319
ScanPos225	35.850319623754885	-75.565098097142851	-34.078476062044501	0.43079999089241028	0.6581999659538269	Single	6319
ScanPos226	35.850204218720144	-75.565145833325133	-31.377088900655508	1.1369999647140503	1.6664999723434448	Single	6319
ScanPos227	35.850086921640553	-75.565120705093037	-32.322413375601172	1.1864999532699585	1.7881999015808105	Single	6319
ScanPos228	35.850183294620976	-75.565045907700693	-34.536794543266296	1.1901999711990356	1.7889999151229858	Single	6319
ScanPos229	35.85001127716837	-75.564986895232238	-33.347472090274096	1.1514999866485596	1.6504999399185181	Single	6319
ScanPos230	35.849779016621362	-75.565024340818098	-28.586093561723828	1.146899938583374	1.7776999473571777	Single	6319
ScanPos231	35.849780408523877	-75.565024114722391	-28.370593716390431	1.1312999725341797	1.7919999361038208	Single	6319
ScanPos232	35.849694736120803	-75.564837001788959	-36.438799445517361	1.062999963760376	1.2559999227523804	RTK float	6319
ScanPos233	35.849544814080318	-75.564899203011507	-34.490314405411482	0.45299997925758362	0.76839995384216309	Single	6319
ScanPos235	35.849439499879395	-75.564870748421257	-33.085601187311113	1.1317999362945557	1.8403999805450439	Single	6319
ScanPos236	35.849471421457437	-75.564731568311828	-34.329730380326509	1.2031999826431274	2.3157000541687012	Single	6319
ScanPos238	35.857566190437971	-75.568153650368217	-33.013031492009759	0.14099998772144318	0.2239999920129776	RTK float	6319
